name,rank_jump,first_year,second_year,rank_1,rank_2
joahan,8374,2000,2001,11212,2838
giulio,8366,2010,2011,12920,4554
suhaan,8346,2006,2007,13753,5407
andon,8343,2002,2003,9454,1111
destan,8336,2010,2011,12735,4399
zyere,8332,2013,2014,14063,5731
nickoli,8325,2010,2011,13689,5364
lyman,8325,2009,2010,13715,5390
daer,-8294,2019,2020,4132,12426
zadok,8294,2007,2008,12336,4042
odinn,8279,2018,2019,13569,5290
jeniel,8268,2011,2012,13203,4935
treysen,8268,2016,2017,14030,5762
sylis,8267,2005,2006,13104,4837
rohen,8260,2013,2014,11858,3598
lorik,8258,2020,2021,13298,5040
nuh,8254,2009,2010,13918,5664
kaleel,8250,2018,2019,13136,4886
mansa,8247,2015,2016,13312,5065
yitzhak,8227,2018,2019,14024,5797
kutler,8225,2018,2019,13292,5067
sayid,8220,2008,2009,14256,6036
zohaan,8210,2017,2018,14244,6034
nilo,8209,2017,2018,13682,5473
tarak,8199,2022,2023,14087,5888
jabez,8171,2000,2001,9562,1391
esten,8166,2009,2010,13061,4895
jaicion,8160,2012,2013,13031,4871
raiyan,8131,2002,2003,12073,3942
tiam,8128,2023,2024,13976,5848
thoren,8123,2012,2013,14014,5891
rev,8112,2020,2021,13618,5506
moksh,8069,2007,2008,13752,5683
maasai,8051,2017,2018,13499,5448
sixto,8044,2023,2024,13884,5840
zayvien,8033,2011,2012,14335,6302
mikhi,8032,2011,2012,13669,5637
delsin,8014,2013,2014,12590,4576
slayter,8012,2020,2021,13754,5742
vidharth,8002,2022,2023,14193,6191
hiroshi,7980,2010,2011,11250,3270
jhay,-7978,2022,2023,5113,13091
whittaker,7963,2011,2012,14244,6281
yovany,-7962,2023,2024,6204,14166
corday,7961,2005,2006,11766,3805
noar,7935,2021,2022,13508,5573
tyronn,7933,2011,2012,14208,6275
jakyri,7927,2004,2005,10514,2587
leonidus,7919,2007,2008,13589,5670
shriyaan,7897,2019,2020,13829,5932
quentyn,7881,2014,2015,13557,5676
emric,7880,2017,2018,10006,2126
sneijder,7878,2009,2010,14196,6318
ociel,7877,2013,2014,13524,5647
olan,7875,2007,2008,13858,5983
messi,7870,2009,2010,13812,5942
drayson,7866,2006,2007,12548,4682
vedaant,7864,2021,2022,12042,4178
rawley,7858,2015,2016,13589,5731
izyk,7856,2014,2015,12808,4952
kiliam,7856,2022,2023,13433,5577
kemarion,7852,2002,2003,11642,3790
jaysion,7828,2012,2013,13100,5272
zafar,7823,2016,2017,14150,6327
tilak,7819,2015,2016,13847,6028
tayquan,7815,2010,2011,14027,6212
eylan,7815,2022,2023,12935,5120
venture,7805,2021,2022,13932,6127
theodoros,7805,2012,2013,14010,6205
yeriel,7802,2005,2006,13317,5515
zayquan,7796,2008,2009,14590,6794
tysean,7793,2021,2022,13919,6126
jafari,-7784,2020,2021,5113,12897
khalan,7769,2018,2019,13228,5459
praneel,7768,2004,2005,12745,4977
lazlo,7767,2017,2018,13451,5684
slevin,7767,2010,2011,13967,6200
jep,-7761,2023,2024,5335,13096
quentavious,7757,2008,2009,14109,6352
zayin,7755,2006,2007,14011,6256
calian,7749,2020,2021,9735,1986
maxxon,7747,2011,2012,13636,5889
taishawn,7745,2004,2005,12992,5247
atreus,7729,2017,2018,8917,1188
zared,7728,2023,2024,14164,6436
zamier,7725,2013,2014,14026,6301
tobechukwu,7724,2022,2023,12169,4445
makoto,7712,2013,2014,13335,5623
shahan,7709,2007,2008,14055,6346
aarit,7704,2014,2015,12112,4408
shaheem,-7703,2023,2024,6165,13868
henrick,7702,2013,2014,12833,5131
yaron,7697,2013,2014,13990,6293
rishik,7696,2008,2009,12255,4559
json,7694,1995,1996,9551,1857
sadiel,7693,2023,2024,13795,6102
juvencio,-7692,2006,2007,5663,13355
pratham,7681,2001,2002,10219,2538
vash,7676,2003,2004,12671,4995
trooper,7675,2008,2009,14453,6778
muntasir,7672,2017,2018,13629,5957
madoc,7670,2006,2007,13258,5588
rivaan,7669,2011,2012,13908,6239
treyshon,7664,2009,2010,14333,6669
keiji,7660,2008,2009,13620,5960
lebron,7656,2002,2003,10150,2494
yafet,-7650,2023,2024,6489,14139
zadin,7648,2010,2011,14217,6569
kaveion,7643,2008,2009,13596,5953
ohm,7639,2002,2003,10303,2664
azarion,7638,2013,2014,12349,4711
khyre,7636,2016,2017,13311,5675
trygg,7632,2013,2014,13913,6281
quantez,7621,2005,2006,12872,5251
warrior,-7621,2023,2024,6484,14105
randen,7607,2007,2008,13935,6328
izaiyah,7602,2016,2017,12983,5381
whitt,7597,2010,2011,14155,6558
yazir,7596,2004,2005,13166,5570
tyrique,-7593,2023,2024,4597,12190
mattheus,7578,2008,2009,13888,6310
juanmiguel,7568,2008,2009,10439,2871
zaiel,7566,2021,2022,14037,6471
ozion,7550,2023,2024,13632,6082
vihan,7548,2007,2008,14285,6737
kalino,7545,2019,2020,13116,5571
brayten,7518,2007,2008,12606,5088
tymon,7512,2012,2013,14085,6573
thorsten,7506,2010,2011,14050,6544
ashyr,7503,2017,2018,12436,4933
jarius,7502,2023,2024,13023,5521
eberardo,7501,2006,2007,12564,5063
rowland,7500,2005,2006,12979,5479
sartaj,7494,2009,2010,14133,6639
shourya,7494,2006,2007,13706,6212
jorje,-7491,2008,2009,5915,13406
aliyar,7490,2020,2021,12122,4632
sajan,7488,2008,2009,14230,6742
trayven,7484,2012,2013,14053,6569
kipling,7478,2015,2016,13156,5678
shlome,7461,1999,2000,11355,3894
diogo,7453,2001,2002,9590,2137
harshith,7450,2007,2008,13038,5588
matas,7448,2005,2006,12675,5227
rogen,7447,2008,2009,14184,6737
ashwath,7442,2012,2013,12435,4993
natavius,-7442,2006,2007,6354,13796
nixin,-7437,2016,2017,6254,13691
lissandro,7433,2009,2010,11893,4460
zekhi,7431,2009,2010,14512,7081
pranish,7427,2019,2020,13632,6205
ithan,7426,2015,2016,12828,5402
ruhan,7425,2006,2007,13623,6198
wattson,7418,2019,2020,14013,6595
shubh,7408,2004,2005,12945,5537
roberth,7405,2014,2015,13644,6239
minas,-7405,2023,2024,6119,13524
waris,7402,2015,2016,12013,4611
matyas,7401,2007,2008,13698,6297
timothee,7400,2017,2018,14066,6666
trexton,7395,2016,2017,14028,6633
iskender,-7394,2019,2020,5421,12815
raijon,7390,2009,2010,14011,6621
sota,7382,2014,2015,11909,4527
zaccheus,-7375,2018,2019,6692,14067
eithen,7371,2007,2008,11338,3967
rakin,7363,2006,2007,13555,6192
garron,7362,2011,2012,12925,5563
izreal,7361,2021,2022,12879,5518
jahmyr,7361,2022,2023,13123,5762
zyel,7360,2023,2024,12227,4867
yale,7360,2006,2007,13959,6599
konor,-7360,2020,2021,5856,13216
gambit,7359,2011,2012,12920,5561
huzaifa,7355,2008,2009,13272,5917
ehitan,7355,2022,2023,12868,5513
rockwell,7349,2002,2003,12123,4774
zackari,7348,2008,2009,14571,7223
mavryck,7343,2021,2022,13388,6045
lathen,7342,2020,2021,13257,5915
zephyrus,7342,2020,2021,14031,6689
richardson,7338,2015,2016,13616,6278
vinson,-7337,2023,2024,4874,12211
ozan,7335,2009,2010,13947,6612
zyron,7334,2018,2019,14108,6774
traeson,7330,2008,2009,12413,5083
tynan,7328,2013,2014,13924,6596
kenniel,7324,2019,2020,13172,5848
javarus,7323,2010,2011,13121,5798
sabas,7322,2007,2008,14013,6691
kaiir,7321,2021,2022,13060,5739
ladanian,7320,2010,2011,13446,6126
ej,7316,2006,2007,12579,5263
saim,7315,2021,2022,13723,6408
jestin,-7315,2021,2022,5881,13196
johnluke,7305,2012,2013,10223,2918
kazmir,7297,2021,2022,10273,2976
levitt,-7294,2023,2024,6098,13392
jakaiden,7287,2010,2011,13077,5790
traycen,7287,2022,2023,14137,6850
trinton,-7286,2018,2019,6670,13956
wiliam,7286,2023,2024,14073,6787
keoki,7280,2013,2014,13159,5879
amael,7280,2023,2024,12333,5053
ezran,7277,2018,2019,11204,3927
kamau,7269,2016,2017,13206,5937
nadim,7264,2009,2010,13865,6601
roc,7264,2012,2013,13804,6540
raed,7262,2004,2005,12773,5511
otniel,7257,2017,2018,11828,4571
junaid,7253,2016,2017,13181,5928
vahin,7251,2020,2021,13905,6654
izzak,7250,2011,2012,13065,5815
quavion,-7249,2021,2022,6585,13834
kaelon,7248,2009,2010,13453,6205
ilyaas,7248,2018,2019,12904,5656
savir,-7248,2016,2017,6657,13905
kassim,7242,2022,2023,13315,6073
zackaria,-7240,2019,2020,6760,14000
jiro,7240,2008,2009,13488,6248
markevion,-7233,2009,2010,6308,13541
zaevion,7229,2006,2007,12030,4801
vineet,-7228,2008,2009,7159,14387
vidit,-7221,2023,2024,6859,14080
audric,-7220,2023,2024,5264,12484
reyly,7217,2005,2006,12943,5726
keen,7216,2010,2011,13321,6105
erling,7214,2020,2021,12617,5403
henryk,7200,2011,2012,13011,5811
henok,7200,2011,2012,13010,5810
taevin,7197,2006,2007,13759,6562
kamir,7195,2014,2015,13066,5871
stiven,7193,2006,2007,13749,6556
yehia,-7191,2023,2024,5060,12251
neythan,7190,2011,2012,13741,6551
donivan,7189,2017,2018,12786,5597
holston,7189,2012,2013,12952,5763
trentin,7184,2018,2019,13921,6737
yossef,7180,2012,2013,14181,7001
nizar,7178,2007,2008,13839,6661
taro,7177,2008,2009,14358,7181
dayveon,7173,2017,2018,11084,3911
alekai,7172,2019,2020,12214,5042
lewin,7168,2019,2020,13328,6160
reichen,-7163,2007,2008,6985,14148
namor,-7163,2023,2024,6415,13578
obrian,7162,2012,2013,13671,6509
ausar,7159,2009,2010,12663,5504
trevar,7158,2003,2004,12624,5466
statler,7155,2020,2021,13777,6622
rutledge,7155,2011,2012,11982,4827
samarion,7149,2022,2023,13971,6822
slayde,7149,2018,2019,11930,4781
kaicen,7146,2012,2013,13221,6075
meilech,7143,2015,2016,13375,6232
kevonte,7142,2017,2018,13323,6181
sparsh,7139,2015,2016,11887,4748
washington,7135,2007,2008,14297,7162
fenrir,7133,2018,2019,12773,5640
jaesean,7132,2009,2010,11553,4421
mihran,7127,2011,2012,13667,6540
rustyn,7126,2013,2014,13685,6559
yashua,7122,1998,1999,11283,4161
zorion,7116,2017,2018,14246,7130
hever,7107,2004,2005,12012,4905
geovanie,7106,2005,2006,12037,4931
barkon,7104,2019,2020,12369,5265
severiano,7102,2020,2021,13713,6611
jonathyn,7102,2012,2013,13165,6063
suryansh,7100,2018,2019,13829,6729
javell,7099,2006,2007,12870,5771
khaleed,7098,2016,2017,13300,6202
deyton,7098,2016,2017,12689,5591
massimiliano,7097,2010,2011,13560,6463
maximilien,7087,2004,2005,12564,5477
zayon,7086,2012,2013,12254,5168
stan,7084,2011,2012,14062,6978
jevin,7083,2020,2021,12965,5882
nyzier,7080,2016,2017,13646,6566
mahmud,7074,2015,2016,13294,6220
traylon,7073,2007,2008,14223,7150
mailo,7072,2022,2023,11753,4681
reon,7071,2022,2023,13879,6808
saliou,7070,2023,2024,13805,6735
teven,7070,1990,1991,9358,2288
gaddiel,7068,2015,2016,12700,5632
mohab,7062,2021,2022,13433,6371
jaxten,7059,2008,2009,11712,4653
shahzaib,7059,2018,2019,13776,6717
enrrique,7056,2005,2006,11979,4923
tadeusz,7052,2021,2022,13824,6772
jaze,7052,2012,2013,13108,6056
nasier,7047,2016,2017,13603,6556
tymothy,7045,1993,1994,10070,3025
ion,7042,2022,2023,13082,6040
kayd,7039,2016,2017,13233,6194
tigran,7037,2001,2002,12148,5111
samvel,7031,2018,2019,13738,6707
jaivyn,7029,2018,2019,12963,5934
lonan,-7028,2023,2024,6379,13407
rockland,7026,2023,2024,13751,6725
kesan,-7019,2008,2009,3463,10482
severus,7017,2015,2016,10441,3424
redd,7014,2020,2021,13606,6592
yohann,7013,2014,2015,12064,5051
oryan,7012,1997,1998,10378,3366
jyair,7009,2007,2008,11634,4625
taino,7007,2007,2008,14138,7131
erdem,7006,2017,2018,12861,5855
reyaansh,7004,2023,2024,13724,6720
jeycob,7004,2021,2022,12991,5987
virgilio,7003,2016,2017,14072,7069
malikhai,7003,2021,2022,13357,6354
quantrell,7002,2006,2007,13525,6523
ronon,7002,2018,2019,13703,6701
marsden,6999,2012,2013,11744,4745
yousaf,6997,2011,2012,12242,5245
kohlton,6993,2006,2007,11437,4444
deklen,-6993,2023,2024,5719,12712
kennard,6992,2013,2014,13150,6158
kayven,6992,2005,2006,12417,5425
seve,6991,2010,2011,13923,6932
monterrius,-6990,2006,2007,6766,13756
valdemar,6987,2019,2020,13984,6997
zyen,6983,2023,2024,14203,7220
kendarious,6981,2003,2004,11883,4902
moti,6977,2019,2020,13491,6514
kol,6975,2010,2011,13412,6437
koe,6975,2018,2019,11548,4573
tyreik,6974,2019,2020,13966,6992
sanjith,6973,2010,2011,13901,6928
brodin,6972,2009,2010,12749,5777
kainoah,6970,2019,2020,13102,6132
manas,6968,2017,2018,13533,6565
ryerson,6967,2023,2024,11969,5002
grantley,6964,2013,2014,12787,5823
kwadwo,6963,2004,2005,12419,5456
samuele,-6959,2021,2022,7021,13980
marqus,6955,2011,2012,11759,4804
ramin,6950,2015,2016,13585,6635
taydon,6948,2017,2018,14033,7085
tadashi,6947,2019,2020,11957,5010
calab,6947,2006,2007,10862,3915
jakarie,6945,2021,2022,12916,5971
barton,6945,2015,2016,12289,5344
yaw,6944,2014,2015,13994,7050
dmauri,6942,2015,2016,12557,5615
kaspian,6939,2014,2015,13083,6144
katai,6933,2013,2014,10202,3269
zyrell,6932,2008,2009,14622,7690
zymeir,6930,2008,2009,14618,7688
zebastian,-6930,2023,2024,7281,14211
zymire,6930,2008,2009,14619,7689
kaipo,6928,2022,2023,13276,6348
mugisha,6926,2022,2023,13700,6774
piercen,6926,2018,2019,13609,6683
zaydan,6924,2006,2007,14009,7085
isaah,-6923,2011,2012,6060,12983
sevion,6920,2001,2002,12015,5095
kymir,6915,2007,2008,13540,6625
oryn,6915,2014,2015,13502,6587
izyaan,6914,2021,2022,12881,5967
jakeb,-6913,2016,2017,6166,13079
josedaniel,6910,2008,2009,13521,6611
sriyaan,6909,2017,2018,13978,7069
khyron,-6909,2019,2020,6266,13175
adreyan,6907,2007,2008,12397,5490
traxton,6907,2010,2011,12085,5178
trashaun,-6906,2013,2014,6981,13887
lynken,6905,2016,2017,13439,6534
esmond,6902,2022,2023,12922,6020
maleik,6895,1994,1995,9713,2818
ollyver,6895,2018,2019,13576,6681
ashar,6893,2009,2010,12653,5760
azarius,6891,2021,2022,12352,5461
pio,6888,2011,2012,13816,6928
guhan,6888,2023,2024,12866,5978
javohn,-6885,2009,2010,6240,13125
xyan,6885,2020,2021,13956,7071
mordche,6885,2006,2007,13382,6497
travyn,-6884,2009,2010,7194,14078
nivin,6883,2014,2015,13463,6580
ulugbek,-6877,2018,2019,7097,13974
tyee,6877,1998,1999,11205,4328
jiyansh,6874,2022,2023,13210,6336
yediel,6873,2008,2009,14548,7675
yosohn,6868,2019,2020,12093,5225
volvy,6855,2023,2024,14057,7202
grafton,6853,2015,2016,12730,5877
kacion,6852,2020,2021,13030,6178
niel,-6852,2022,2023,6725,13577
wyman,6851,2008,2009,14521,7670
kaien,6850,2015,2016,13035,6185
trevyn,6847,1993,1994,10053,3206
nymir,6847,2011,2012,13766,6919
teandre,-6846,2012,2013,6993,13839
taveion,6844,2004,2005,13014,6170
jeret,6843,2005,2006,12252,5409
huckleberry,6843,2007,2008,11442,4599
tanjiro,6841,2022,2023,14086,7245
rayhaan,6836,2012,2013,13765,6929
ezz,6835,2023,2024,12808,5973
shivay,6835,2016,2017,11913,5078
thanos,6834,2014,2015,13857,7023
keanthony,6834,2007,2008,13431,6597
olyver,6834,2010,2011,13727,6893
yaman,6831,2015,2016,13964,7133
bodey,6831,2001,2002,10757,3926
murdock,6829,2015,2016,13424,6595
kendriel,6829,2021,2022,13156,6327
jaliel,6829,2008,2009,11660,4831
tryton,6828,2006,2007,13875,7047
taniela,6823,2013,2014,13824,7001
jaymari,6823,2006,2007,12882,6059
sufyaan,6821,2022,2023,14059,7238
jamori,6820,2022,2023,13144,6324
jonovan,6817,2010,2011,13220,6403
toussaint,6817,2020,2021,13868,7051
kutter,6816,2000,2001,11415,4599
odai,6806,2021,2022,13537,6731
kashaun,6805,2008,2009,11833,5028
saahas,6804,2016,2017,13824,7020
konye,6803,2003,2004,11945,5142
jentzen,6803,2018,2019,13038,6235
enzio,-6803,2023,2024,6015,12818
jaqwan,6801,2008,2009,13392,6591
maleke,6801,2009,2010,13744,6943
bensyn,6800,2023,2024,12474,5674
zidaan,6799,2011,2012,14350,7551
trypp,6794,2018,2019,13930,7136
keyshaun,6786,2016,2017,13293,6507
kaide,6786,2012,2013,13222,6436
beauregard,6785,2006,2007,12245,5460
trayton,-6784,2022,2023,7215,13999
jamarques,6783,2006,2007,12835,6052
kahleb,6782,2007,2008,13373,6591
moishy,6781,2011,2012,13682,6901
canton,6781,2002,2003,10914,4133
eirik,6781,2023,2024,12744,5963
trentan,6778,2005,2006,13209,6431
jakaden,6774,2006,2007,12824,6050
midas,6772,2011,2012,13665,6893
alarick,6770,2017,2018,12325,5555
kelso,6768,2005,2006,12443,5675
jedrek,6767,2015,2016,12943,6176
zafir,6766,2011,2012,14304,7538
sherif,6765,2013,2014,13753,6988
hesham,6761,2019,2020,12847,6086
kysin,6760,2022,2023,13496,6736
tevan,6758,2009,2010,14288,7530
avraj,6752,2014,2015,12285,5533
aboubacar,6748,2000,2001,10365,3617
rapheal,6748,2011,2012,10528,3780
jervon,6746,2011,2012,13220,6474
zavior,6745,2008,2009,11019,4274
markevious,6744,1996,1997,9973,3229
brasen,6744,2021,2022,12409,5665
sebastyan,6743,2013,2014,13725,6982
ashad,6742,2016,2017,9753,3011
adric,6740,2017,2018,12289,5549
athanasius,6739,2014,2015,12268,5529
ramello,6738,2019,2020,13673,6935
gavon,6738,1998,1999,10156,3418
muhammadumar,6737,2021,2022,13452,6715
sayvion,6735,2000,2001,11825,5090
laythen,6734,2009,2010,13664,6930
sterlin,6733,2023,2024,13909,7176
kord,6730,2022,2023,13460,6730
kartik,6725,2016,2017,13221,6496
waiks,6724,2021,2022,13952,7228
tabias,6724,2012,2013,12088,5364
takeru,6722,2008,2009,14350,7628
braelen,6722,2017,2018,12532,5810
abdulahad,6722,2017,2018,12263,5541
haysten,6722,2022,2023,13032,6310
cauy,-6721,2005,2006,5618,12339
solan,6719,2006,2007,13734,7015
ronav,6719,2022,2023,13921,7202
johnmark,6718,2021,2022,13015,6297
joaovictor,-6714,2010,2011,6530,13244
hawke,6714,2013,2014,12820,6106
derrin,6711,2004,2005,11801,5090
adarsh,6708,2022,2023,12374,5666
iyad,6707,2018,2019,12924,6217
jeyder,6701,2021,2022,12993,6292
kaleem,6700,2015,2016,11392,4692
leovardo,6700,2008,2009,13776,7076
mousa,6699,2007,2008,11893,5194
ronen,6699,2000,2001,11783,5084
bernardino,6698,2017,2018,12505,5807
mykhi,6698,2012,2013,13601,6903
yaden,6696,2010,2011,14176,7480
mussa,6695,2012,2013,13596,6901
smyan,6691,2009,2010,14195,7504
muaz,6688,2012,2013,13588,6900
denilson,6688,1997,1998,8395,1707
tryce,6687,2011,2012,14197,7510
makaio,6687,2000,2001,11504,4817
rainen,-6686,2020,2021,6934,13620
lohith,6682,2011,2012,13557,6875
khairo,6682,2017,2018,11531,4849
micahel,6678,2007,2008,13731,7053
saynt,6676,2020,2021,13700,7024
srijan,6676,2006,2007,11856,5180
melchor,6673,2007,2008,13724,7051
issaiah,6672,2015,2016,12826,6154
atharv,6672,2004,2005,11507,4835
hukam,6671,2023,2024,12933,6262
koal,6671,2009,2010,13590,6919
hopper,6669,2018,2019,12878,6209
aksil,-6667,2022,2023,5638,12305
aakash,6665,2022,2023,12329,5664
kj,6664,2020,2021,11369,4705
derron,6661,2021,2022,12591,5930
semajay,6661,2006,2007,13667,7006
gannen,6658,2013,2014,12754,6096
teyo,6658,2021,2022,13866,7208
raydin,6658,2013,2014,13621,6963
sharmarke,6656,2015,2016,13731,7075
alazar,6654,2023,2024,12311,5657
bracen,6654,2009,2010,12728,6074
reylan,6653,2019,2020,11840,5187
koben,6650,2018,2019,13272,6622
seanpatrick,6649,2008,2009,14259,7610
ruxin,6649,2020,2021,13664,7015
itzael,6648,2014,2015,11255,4607
sasuke,6648,2018,2019,13748,7100
brek,6647,2008,2009,12786,6139
royer,6646,2020,2021,13659,7013
dayvian,6643,2007,2008,12789,6146
thaison,-6639,2008,2009,7650,14289
caz,6639,2018,2019,12497,5858
kirklin,6637,1994,1995,9619,2982
laythan,-6636,2023,2024,6742,13378
nimalan,6636,2019,2020,13548,6912
daryon,6635,2007,2008,12774,6139
niels,6633,2009,2010,12042,5409
eyder,6632,2022,2023,12933,6301
tejon,-6630,2008,2009,7647,14277
issak,-6629,2021,2022,6468,13097
wisin,6628,2007,2008,14306,7678
ceasar,-6628,2023,2024,5982,12610
keone,6627,2020,2021,13143,6516
lazarius,6626,2010,2011,13470,6844
russ,6625,2006,2007,13625,7000
aksh,6623,2011,2012,12350,5727
jaceon,6621,2011,2012,13071,6450
kveon,6619,2011,2012,13479,6860
khaiden,6611,2008,2009,13658,7047
ezequias,6608,2008,2009,13159,6551
travell,-6608,2021,2022,7528,14136
urian,6605,2007,2008,14273,7668
alhassan,6605,2015,2016,12164,5559
majour,6602,2012,2013,13474,6872
itsuki,6600,2012,2013,12991,6391
jaxel,6599,2016,2017,13066,6467
jahsiah,6599,1999,2000,10582,3983
chaos,-6597,2021,2022,4515,11112
isidore,6597,2012,2013,12987,6390
yug,6595,2006,2007,12023,5428
yuepheng,6594,2003,2004,12723,6129
moustapha,6594,2009,2010,11996,5402
malyk,6589,1995,1996,9758,3169
kristoff,6588,2010,2011,13424,6836
nickson,6585,2022,2023,13753,7168
rafiq,6584,2020,2021,13584,7000
yazn,6584,2017,2018,14179,7595
seydina,6580,2021,2022,13763,7183
riaan,6578,2009,2010,14052,7474
whalen,6577,2016,2017,14087,7510
mathius,6576,2008,2009,12046,5470
hinton,6575,2011,2012,13016,6441
kiwane,-6573,1997,1998,3975,10548
ranvir,6573,2018,2019,13650,7077
maxamus,-6572,2015,2016,6939,13511
dasan,6570,2017,2018,11076,4506
meziah,6569,2019,2020,13462,6893
kaos,6569,2020,2021,13073,6504
alexios,6569,2018,2019,9713,3144
fher,-6565,2008,2009,6521,13086
kavish,6564,2008,2009,13597,7033
tregan,6564,2007,2008,14227,7663
yovanny,6563,2022,2023,14272,7709
dorion,6563,2013,2014,12643,6080
jaqwon,6562,2003,2004,11667,5105
krzysztof,6560,2005,2006,12527,5967
dontaye,6556,2005,2006,11926,5370
kaylum,-6556,2022,2023,6659,13215
traden,6555,2007,2008,14211,7656
juandavid,6552,2022,2023,13249,6697
jiovany,-6550,2013,2014,6421,12971
oseias,6549,2016,2017,8003,1454
nikolos,-6548,2006,2007,7285,13833
taeshawn,6547,2000,2001,11909,5362
matheu,6546,2005,2006,10997,4451
handsome,6543,2012,2013,12923,6380
dalvin,6541,1991,1992,7464,923
gregor,6541,2012,2013,12914,6373
lamaj,6539,2007,2008,13555,7016
parv,6538,2014,2015,13518,6980
quillan,6538,2009,2010,13991,7453
tyton,6535,2017,2018,14105,7570
phillips,6534,2002,2003,12012,5478
gianpaolo,6531,2012,2013,12900,6369
alban,6530,2020,2021,12101,5571
whit,6530,2004,2005,13144,6614
caeleb,6523,2020,2021,12328,5805
achilles,6517,2003,2004,9592,3075
kaveh,-6517,2023,2024,6712,13229
tyquon,6514,2002,2003,12374,5860
xhaiden,-6507,2020,2021,7475,13982
andrews,6507,2013,2014,12255,5748
johnte,6506,2004,2005,12226,5720
oden,6505,2001,2002,11825,5320
tritt,6503,2019,2020,13958,7455
osmany,6503,2008,2009,14072,7569
mahamadou,6502,2016,2017,13451,6949
horus,6502,2017,2018,12988,6486
thayden,-6499,2016,2017,7549,14048
zepplin,6498,2021,2022,12129,5631
shammond,6498,1997,1998,9089,2591
leniel,6497,2017,2018,13462,6965
syere,-6496,2023,2024,5629,12125
nehan,6495,2020,2021,13476,6981
zende,-6494,2018,2019,7607,14101
shloma,6492,2013,2014,11938,5446
masson,6490,2022,2023,13629,7139
tobenna,6489,2019,2020,13937,7448
uzay,6487,2022,2023,14172,7685
filiberto,6486,2021,2022,12732,6246
samaad,6485,2010,2011,13892,7407
fishel,6484,2011,2012,12912,6428
lonzo,6483,2016,2017,13426,6943
strummer,6483,2007,2008,14114,7631
drezden,6482,2008,2009,11459,4977
keithan,6481,2021,2022,13143,6662
jhadiel,6480,2018,2019,13064,6584
zarius,-6479,2023,2024,7724,14203
yunay,6478,2022,2023,10815,4337
yiannis,6477,1995,1996,10302,3825
