name,f_sum,m_sum,total,per_diff
encarnacion,132,851,983,146.28687690742626
adeline,80812,26,80838,199.87134763353868
bertice,175,44,219,119.63470319634703
yasmine,13801,5,13806,199.85513544835578
marce,169,111,280,41.42857142857143
arlice,15,26,41,53.65853658536586
jayson,37,35931,35968,199.5885231316726
mikale,39,374,413,162.227602905569
daylee,460,6,466,194.84978540772534
namiko,297,8,305,189.50819672131146
kodah,35,516,551,174.59165154264974
brook,10630,3391,14021,103.25939661935668
dresden,183,972,1155,136.62337662337663
kendrell,18,909,927,192.23300970873788
whiskey,6,6,12,0.0
axl,5,4408,4413,199.5467935644686
jermani,926,170,1096,137.95620437956205
quayshawn,5,172,177,188.70056497175142
jaydin,1135,3157,4292,94.22180801491147
jet,122,3363,3485,185.9971305595409
jabre,10,131,141,171.63120567375887
rondi,595,7,602,195.3488372093023
ron,70,36362,36432,199.2314448836188
linzie,570,338,908,51.10132158590308
shomari,71,1129,1200,176.33333333333334
sasha,38492,1746,40238,182.6432725284557
troi,841,247,1088,109.19117647058823
kahmari,142,475,617,107.94165316045381
earline,16524,59,16583,198.5768558161973
gearldine,4686,5,4691,199.57365167341717
bunnie,800,62,862,171.22969837587007
silas,184,75465,75649,199.0270856191093
deron,35,5709,5744,197.56267409470752
torey,1421,2973,4394,70.6417842512517
azazel,17,435,452,184.95575221238937
greta,27786,5,27791,199.92803425569429
jaxsyn,165,994,1159,143.05435720448662
bay,523,204,727,87.75790921595599
gwinn,5,18,23,113.04347826086956
deneen,3603,7,3610,199.22437673130193
daine,298,303,601,1.6638935108153077
wesson,5,3219,3224,199.37965260545906
nickie,3158,1438,4596,74.84769364664926
gillian,16059,68,16127,198.31338748682333
shamone,213,22,235,162.5531914893617
macaire,5,5,10,0.0
barnett,6,1279,1285,198.13229571984436
shemar,6,2376,2382,198.99244332493703
everyn,56,17,73,106.84931506849315
juell,17,92,109,137.61467889908258
krosby,44,143,187,105.88235294117648
faron,52,2420,2472,191.58576051779934
brailey,1176,5,1181,198.30651989839117
kashmir,559,1357,1916,83.29853862212944
makiah,2238,523,2761,124.23035132198478
kirby,3963,14532,18495,114.29034874290349
coleman,29,17599,17628,199.34195597912412
domingue,68,19,87,112.64367816091954
cary,5323,24504,29827,128.61501324303484
avry,573,512,1085,11.244239631336406
taiwo,63,147,210,80.0
jarie,11,6,17,58.82352941176471
alexander,4545,736123,740668,197.54545896407026
konstantine,6,442,448,194.64285714285714
eddi,6,119,125,180.8
yamil,77,1524,1601,180.7620237351655
meddie,37,11,48,108.33333333333333
jeremy,2312,446425,448737,197.93910464258576
janae,18052,6,18058,199.86709491638055
khloe,49923,20,49943,199.83981739182667
kleo,391,35,426,167.13615023474176
kassius,10,1187,1197,196.65831244778613
esley,58,268,326,128.83435582822085
terell,38,2695,2733,194.43834613977313
laddie,92,1644,1736,178.80184331797236
tristian,641,7960,8601,170.18951284734334
rihanna,6612,5,6617,199.6977482242708
jamile,204,229,433,11.547344110854503
morgon,42,101,143,82.51748251748252
gennie,2541,199,2740,170.94890510948906
makyah,775,43,818,178.97310513447434
laverne,42878,13246,56124,105.59475447224006
hudson,1882,114287,116169,193.519785829266
dina,32021,76,32097,199.05287098482725
brendan,325,91816,92141,198.58911885045745
emmanuel,372,91079,91451,198.3728991481777
opeyemi,30,19,49,44.89795918367347
tricia,40134,88,40222,199.12485704340907
amavi,78,35,113,76.10619469026548
ramiah,545,19,564,186.52482269503545
sevynn,336,74,410,127.8048780487805
tamare,10,12,22,18.181818181818183
jerriah,130,5,135,185.1851851851852
camaree,5,11,16,75.0
dynell,6,58,64,162.5
beryl,10130,2338,12468,124.99197946743664
selma,26881,321,27202,195.27975884126167
ajani,258,2241,2499,158.70348139255702
tatum,28649,13225,41874,73.6686249223862
bernadette,54973,60,55033,199.56389802482147
emel,21,6,27,111.11111111111111
ivonne,6127,14,6141,199.08809640123758
bodhi,562,14292,14854,184.866029352363
skai,1054,84,1138,170.47451669595782
believe,80,37,117,73.50427350427351
nesly,70,5,75,173.33333333333334
gailen,6,250,256,190.625
beatrice,194920,733,195653,198.5014285495239
shana,29635,113,29748,198.48057012236117
malikah,949,84,1033,167.47337850919652
emerson,34050,33521,67571,1.565760459368664
gerrie,1367,11,1378,196.8069666182874
eren,204,2236,2440,166.55737704918033
brekyn,104,52,156,66.66666666666666
sabian,21,952,973,191.36690647482015
thu,832,5,837,197.61051373954598
somtochukwu,31,133,164,124.39024390243902
cailin,3713,30,3743,196.79401549559176
halo,4509,1003,5512,127.21335268505081
koda,654,6919,7573,165.45622606628814
gerry,6657,14468,21125,73.95029585798817
autumn,145988,338,146326,199.07603570110575
oluwatoni,153,91,244,50.81967213114754
arvi,10,15,25,40.0
latrail,13,107,120,156.66666666666666
doyne,63,449,512,150.78125
franklin,778,141728,142506,197.8162322989909
arai,81,5,86,176.74418604651163
samora,631,5,636,196.85534591194968
rogue,659,447,1106,38.33634719710669
garland,855,23857,24712,186.16056976367756
addis,152,443,595,97.81512605042016
kerry,48675,49969,98644,2.6235756863063138
no,12,6,18,66.66666666666666
arnell,798,1282,2080,46.53846153846154
rell,23,12,35,62.857142857142854
dustin,1380,208341,209721,197.36793168066146
kalei,1948,276,2224,150.35971223021582
amarey,5,52,57,164.91228070175438
rece,5,522,527,196.20493358633777
chee,209,325,534,43.445692883895134
mclain,19,231,250,169.6
stellan,23,1577,1600,194.25
leelynn,77,168,245,74.28571428571429
lashane,106,10,116,165.51724137931035
vernal,370,1788,2158,131.4179796107507
trent,102,51608,51710,199.21098433571842
ajee,301,35,336,158.33333333333331
lorence,6,686,692,196.53179190751445
marisol,35041,315,35356,196.43624844439415
barret,5,1384,1389,198.56011519078473
dashan,10,210,220,181.8181818181818
zyaire,722,8807,9529,169.69251757792003
shamire,12,10,22,18.181818181818183
ermie,136,5,141,185.81560283687944
rhettley,5,55,60,166.66666666666669
neylan,301,133,434,77.41935483870968
eryan,6,7,13,15.384615384615385
marlin,1662,21172,22834,170.8855215906105
jerin,54,568,622,165.2733118971061
odalis,2645,51,2696,192.433234421365
colsyn,6,192,198,187.87878787878788
katari,6,16,22,90.9090909090909
motley,95,145,240,41.66666666666667
damilola,199,48,247,122.2672064777328
lyriq,862,159,1021,137.7081292850147
layke,60,172,232,96.55172413793103
boyd,65,27680,27745,199.0628942151739
courage,62,268,330,124.84848484848486
rickey,674,61717,62391,195.6788639387091
angelo,850,86106,86956,196.08997653985924
kaylon,675,1348,2023,66.53484923381117
kinte,12,213,225,178.66666666666666
avri,570,36,606,176.23762376237624
jacksyn,59,292,351,132.76353276353277
layla,129136,109,129245,199.66265619559752
arrie,1792,318,2110,139.71563981042655
tennille,2184,15,2199,197.27148703956343
olie,420,577,997,31.49448345035105
yecenia,1230,5,1235,198.38056680161944
ashai,42,101,143,82.51748251748252
emeris,13,28,41,73.17073170731707
braylon,163,18796,18959,196.56100005274538
ivo,5,849,854,197.65807962529274
kalen,1467,4629,6096,103.74015748031495
kampbell,95,79,174,18.39080459770115
laken,6240,2259,8499,93.68160960112955
audyn,160,10,170,176.47058823529412
matilde,3220,218,3438,174.6364165212333
mauri,838,159,997,136.2086258776329
canaan,324,5843,6167,178.98491973406843
glee,781,20,801,190.01248439450686
jeylani,101,22,123,128.45528455284554
cayman,256,1015,1271,119.43351691581432
dorian,4541,24187,28728,136.77248677248676
jacquelyn,85197,110,85307,199.4842158322295
suzette,16963,5,16968,199.88213107024987
abeer,607,205,812,99.01477832512316
ayaan,251,8903,9154,189.0321171072755
napoleon,5,7805,7810,199.7439180537772
keante,13,213,226,176.99115044247787
gabrielle,138782,797,139579,197.715988794876
channing,3942,7296,11238,59.6903363587827
dheera,23,27,50,16.0
raiden,460,12681,13141,185.99802145955405
clyde,3932,144994,148926,189.43905026657535
taren,1177,512,1689,78.74481941977501
xailyn,5,22,27,125.92592592592592
arielle,30870,51,30921,199.34025419617737
tia,33832,64,33896,199.24474864290772
leticia,42984,215,43199,198.00921317623093
reyna,18647,32,18679,199.31473847636383
prince,550,23601,24151,190.89064635004763
wells,175,6989,7164,190.22892238972642
luna,87715,119,87834,199.45806862946012
macauley,30,260,290,158.6206896551724
adel,1494,1508,3002,0.9327115256495668
olamide,306,298,604,2.6490066225165565
damie,39,6,45,146.66666666666666
arkie,183,37,220,132.72727272727275
milaan,37,10,47,114.89361702127661
jennie,127181,479,127660,198.49913833620553
darice,1333,13,1346,196.13670133729568
landri,1073,37,1110,186.66666666666666
sammi,1676,56,1732,187.06697459584296
anmol,319,467,786,37.659033078880405
odis,171,8229,8400,191.85714285714286
miley,15704,75,15779,198.09873883009064
antoni,5,2353,2358,199.1518235793045
romey,231,327,558,34.40860215053764
kee,10,1406,1416,197.17514124293785
garcia,36,423,459,168.62745098039215
malin,840,230,1070,114.01869158878503
bandy,30,62,92,69.56521739130434
tora,990,26,1016,189.76377952755905
markey,5,284,289,193.07958477508652
kyla,43674,29,43703,199.7345719973457
tremayne,39,3957,3996,196.09609609609612
reny,6,11,17,58.82352941176471
dyllan,500,3302,3802,147.39610731194108
harper,139063,6769,145832,181.43343024850515
kareem,198,18161,18359,195.6860395446375
barnell,6,97,103,176.6990291262136
caymen,18,280,298,175.83892617449663
sevi,120,22,142,138.0281690140845
emersyn,22246,326,22572,194.2229310650363
elon,512,3121,3633,143.6278557665841
cassandra,171008,376,171384,199.12243850067682
lawson,605,18533,19138,187.35500052252064
ariyon,178,306,484,52.892561983471076
brennen,178,9039,9217,192.27514375610286
lang,6,549,555,195.67567567567568
azreal,5,247,252,192.06349206349208
shaquelle,45,73,118,47.45762711864407
bobie,420,377,797,10.790464240903388
demian,14,2105,2119,197.35724398301085
tobbie,17,22,39,25.64102564102564
anari,1096,112,1208,162.91390728476821
omni,339,102,441,107.48299319727892
mearle,26,82,108,103.7037037037037
chyenne,1372,5,1377,198.54756717501814
jaylien,19,29,48,41.66666666666667
stevey,135,23,158,141.77215189873417
nija,815,19,834,190.8872901678657
joules,37,11,48,108.33333333333333
vashion,5,11,16,75.0
myka,2799,456,3255,143.963133640553
jori,2266,207,2473,166.51839870602507
khris,46,347,393,153.18066157760813
laurin,1597,481,2078,107.41097208854669
colley,6,18,24,100.0
iris,101550,770,102320,196.98983580922595
jemini,90,48,138,60.86956521739131
randle,7,2929,2936,199.04632152588556
eduardo,433,110257,110690,198.4352696720571
jason,5028,1052030,1057058,198.09736078814976
louisa,21932,5,21937,199.90882983087934
althea,17980,5,17985,199.88879621907145
dillyn,222,412,634,59.93690851735016
ella,351313,901,352214,198.976758447989
bohdi,12,794,806,194.04466501240697
dwan,910,1221,2131,29.188174565931487
jakiah,461,97,558,130.46594982078855
aunyx,28,42,70,40.0
roper,8,647,655,195.1145038167939
jalonnie,12,36,48,100.0
constance,139975,419,140394,198.8062167898913
miriam,117910,280,118190,199.05237329723326
carl,3190,504827,508017,197.48827303023324
shanta,5112,142,5254,189.1891891891892
hollister,25,107,132,124.24242424242425
martin,1476,315561,317037,198.137756791794
amer,12,1438,1450,196.68965517241378
rauri,13,5,18,88.88888888888889
christien,136,927,1063,148.82408278457197
beth,159430,325,159755,199.18625395136303
ladell,433,1023,1456,81.04395604395604
demario,17,6364,6381,198.93433631092304
lura,9550,5,9555,199.7906855049712
tagen,99,166,265,50.56603773584906
clifford,2019,188249,190268,195.7554607185654
leshawn,312,806,1118,88.37209302325581
josie,75370,545,75915,197.1283672528486
gatlynn,60,13,73,128.76712328767124
miciah,245,295,540,18.51851851851852
talley,360,81,441,126.53061224489797
tabitha,59200,146,59346,199.01594041721432
blayke,1822,750,2572,83.35925349922239
devian,22,275,297,170.37037037037038
konnor,119,5767,5886,191.91301393136254
ngawang,24,82,106,109.43396226415094
zhen,22,94,116,124.13793103448276
autry,243,1218,1461,133.47022587268992
cleaster,110,27,137,121.16788321167884
symphony,3256,35,3291,195.7459738681252
emonie,1031,14,1045,194.64114832535887
declan,403,58547,58950,197.2654792196777
iniko,14,150,164,165.85365853658536
jaiel,71,147,218,69.72477064220183
kailer,42,778,820,179.51219512195124
larell,5,378,383,194.77806788511748
deangelo,21,12279,12300,199.3170731707317
kally,1387,5,1392,198.5632183908046
jaylyne,112,5,117,182.9059829059829
sahej,71,55,126,25.396825396825395
lyndsey,14388,32,14420,199.1123439667129
praise,933,426,1359,74.61368653421634
fran,4965,374,5339,171.97977149278893
jadenn,5,36,41,151.21951219512195
estel,467,2374,2841,134.24850404787048
bradlee,400,3470,3870,158.65633074935403
munachi,89,38,127,80.31496062992126
clevie,119,29,148,121.62162162162163
dilynn,508,40,548,170.80291970802918
diamante,257,655,912,87.28070175438597
kulture,289,71,360,121.1111111111111
jode,146,25,171,141.52046783625732
rudell,378,394,772,4.145077720207254
shawnell,248,21,269,168.7732342007435
burnie,62,876,938,173.56076759061833
indie,4412,271,4683,176.85244501388
reagen,638,76,714,157.42296918767508
schuylar,28,18,46,43.47826086956522
enes,394,275,669,35.57548579970104
kharie,5,7,12,33.33333333333333
win,16,179,195,167.17948717948718
ernesto,121,44695,44816,198.92002856122812
lona,10907,17,10924,199.37751739289638
salix,6,50,56,157.14285714285714
ludie,2687,270,2957,163.47649644910382
kaysyn,10,112,122,167.21311475409837
saba,1587,94,1681,177.63236168947057
sims,5,312,317,193.69085173501577
harriett,21621,5,21626,199.9075187274577
lola,96892,275,97167,198.8679284119094
angelus,25,374,399,174.937343358396
henry,4619,768945,773564,197.61157447864687
kacyn,54,262,316,131.64556962025316
cynthia,711453,1959,713412,198.9016164572505
rodas,30,13,43,79.06976744186046
addy,1498,22,1520,194.21052631578948
ryon,17,2009,2026,196.6436327739388
terelle,5,352,357,194.39775910364145
lay,12,28,40,80.0
cheyne,115,910,1025,155.1219512195122
thelmer,47,142,189,100.52910052910053
jeeva,24,5,29,131.0344827586207
javion,11,6889,6900,199.36231884057972
ashely,6527,70,6597,195.75564650598758
steph,66,5,71,171.83098591549296
brayan,18,16540,16558,199.5651648749849
rani,1911,215,2126,159.54844778927563
demonii,5,5,10,0.0
lela,43005,68,43073,199.36851391823186
kelcy,967,77,1044,170.49808429118772
reathel,127,6,133,181.95488721804512
ermias,6,2245,2251,198.93380719680144
beckette,15,5,20,100.0
janet,556776,1515,558291,198.91454456546856
zyree,21,150,171,150.87719298245614
darelle,11,284,295,185.08474576271186
cameron,32235,312661,344896,162.6148172202635
asa,1901,21166,23067,167.03515845146745
brina,1369,5,1374,198.5443959243086
javonnie,10,128,138,171.0144927536232
romayne,1118,17,1135,194.00881057268722
shakil,5,172,177,188.70056497175142
safi,105,191,296,58.108108108108105
jaime,50067,71491,121558,35.249016930189704
eather,543,6,549,195.62841530054644
quinlan,735,2561,3296,110.8009708737864
majesty,2568,731,3299,111.36708093361625
jessiah,349,2285,2634,147.00075930144268
melanie,262640,614,263254,199.06706070942892
kaymen,13,227,240,178.33333333333334
rhowan,5,5,10,0.0
metzli,474,6,480,195.0
chauncey,508,9685,10193,180.06475031884625
sharn,23,26,49,12.244897959183673
kaigan,12,7,19,52.63157894736842
sonia,66747,279,67026,198.3349744875123
adison,3249,660,3909,132.46354566385264
larry,3560,807588,811148,198.24446340248636
harlowe,994,66,1060,175.0943396226415
jaren,253,5089,5342,181.05578435043054
shaden,248,305,553,20.61482820976492
gwyn,2115,299,2414,150.45567522783762
skiler,170,164,334,3.592814371257485
baylen,270,1392,1662,135.01805054151626
sloan,8385,2883,11268,97.65708200212993
stokely,20,160,180,155.55555555555557
clem,54,4275,4329,195.010395010395
yandi,13,5,18,88.88888888888889
berry,370,5737,6107,175.76551498280662
leshon,28,80,108,96.29629629629629
chisom,532,223,755,81.8543046357616
jian,42,600,642,173.83177570093457
eldra,26,47,73,57.534246575342465
dontrell,16,2824,2840,197.74647887323943
gayle,61357,4951,66308,170.1333172467877
saxon,166,1571,1737,161.77317213586645
mori,82,47,129,54.263565891472865
vilas,14,493,507,188.95463510848128
trhue,11,18,29,48.275862068965516
lummie,77,41,118,61.016949152542374
avan,57,994,1051,178.30637488106564
karcyn,125,51,176,84.0909090909091
vidal,10,4237,4247,199.058158700259
merce,5,5,10,0.0
juanita,207684,991,208675,198.10039535162335
ajalon,12,7,19,52.63157894736842
amparo,3316,17,3333,197.95979597959797
buford,110,10854,10964,195.98686610726014
normal,45,125,170,94.11764705882352
cloudie,6,10,16,50.0
bentley,3535,60027,63562,177.75400396463297
benny,644,48500,49144,194.75826143578055
loyal,500,5939,6439,168.93927628513745
kamal,25,3076,3101,196.7752337955498
lenell,343,540,883,44.620611551528874
baylie,3472,26,3498,197.0268724985706
laury,882,51,933,178.13504823151126
slone,37,68,105,59.04761904761905
sabin,6,713,719,196.66203059805284
shaquell,49,40,89,20.224719101123593
remy,8262,12484,20746,40.70182203798323
eunique,628,10,638,193.73040752351096
takota,33,410,443,170.20316027088035
dariyan,23,24,47,4.25531914893617
kash,282,17367,17649,193.6087030426653
nathanael,17,22227,22244,199.69429958640532
lafayette,21,4861,4882,198.27939369111022
aaryn,1473,788,2261,60.59265811587793
snow,1066,67,1133,176.3459841129744
skyylar,67,5,72,172.22222222222223
mirage,127,5,132,184.84848484848484
lakeland,10,122,132,169.6969696969697
anne,325128,826,325954,198.98636003853306
galyn,52,37,89,33.70786516853933
deegan,12,3453,3465,198.6147186147186
bevan,66,567,633,158.29383886255923
alani,18799,111,18910,197.65203595980964
marly,1660,5,1665,198.7987987987988
karion,5,95,100,180.0
jesenia,4764,6,4770,199.49685534591194
deni,676,176,852,117.37089201877934
jahara,262,5,267,192.50936329588015
iremide,111,143,254,25.196850393700785
leyton,429,2543,2972,142.26110363391655
refujio,5,332,337,194.06528189910978
julianna,52285,26,52311,199.8011890424576
mays,54,143,197,90.35532994923858
ovel,5,28,33,139.3939393939394
maricela,13077,56,13133,198.29437295362825
christia,737,82,819,159.95115995115995
nhan,5,361,366,194.53551912568307
renley,1192,310,1502,117.4434087882823
areli,6624,115,6739,193.17406143344712
henri,659,5328,5987,155.97127108735594
greatness,10,39,49,118.36734693877551
payten,3344,631,3975,136.50314465408806
chavon,671,55,726,169.6969696969697
zaylin,303,795,1098,89.61748633879782
violet,185561,284,185845,199.38873792676694
christi,20910,22,20932,199.5795910567552
hudsyn,677,648,1325,4.377358490566038
temple,1568,828,2396,61.769616026711184
juliani,180,60,240,100.0
kaulana,6,147,153,184.31372549019608
